Player_ID,Season,mu_hs,mu_hl,mu_hS,mu_sh,mu_ls,mu_hs_estimate,mu_hl_estimate,mu_hS_estimate,mu_sh_estimate,mu_ls_estimate,mu_hs_approx,mu_hl_approx,mu_hS_approx,mu_sh_approx,mu_ls_approx
1462,2021,0.009872765739798364,NA,NA,0.25434502309482954,NA,0.007518796992481203,NA,NA,0.09090909090909091,NA,0.015504186535965199,0,0,0.6931471805599453,NA
1462,2022,NA,NA,NA,NA,NA,0.02608695652173913,0.008695652173913044,NA,0.23809523809523808,0.10526315789473684,0.0659579677917974,0.02150620522096362,0,0.9808292530117262,0.3364722366212129
1463,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1463,2019,0.007940660950785388,NA,NA,0.2506714475723266,NA,0.005813953488372093,NA,NA,0.25,NA,0.013072081567352775,0,0,0.6931471805599453,NA
1463,2020,0.018246754813828803,NA,NA,0.23206001520127284,NA,0.006872852233676976,NA,NA,0.2,NA,0.0317486983145803,0,0,0.6931471805599453,NA
1463,2021,0,0.9999999999999998,0.9999999999999997,0.9999999999999997,0.9999999999999999,0,0.012195121951219513,0.012195121951219513,0.18181818181818182,0.25,0,0.027398974188114388,0.027398974188114388,0.5108256237659907,0.6931471805599453
1463,2022,0,NA,1.0000000000000004,0,NA,0,NA,0.018518518518518517,0,NA,0,0,0.04255961441879589,0,NA
1464,2018,0,NA,1.00000000021296,0,NA,0,NA,0.006666666666666667,0,NA,0,0,0.015037877364540559,0,NA
1464,2019,0,0.0063945186514008205,NA,0.31727075380153613,0.1612808864722021,0,0.005988023952095809,NA,0.3333333333333333,0.2,0,0.013605652055778598,0,0.6931471805599453,0.6931471805599453
1464,2020,0.16508711920162794,NA,NA,10.567099770530792,NA,0.0034602076124567475,NA,NA,0.25,NA,0.015748356968139168,0,0,NA,NA
1464,2021,0.1119670449395431,NA,NA,1.6911416535677006,NA,0.029197080291970802,NA,NA,0.5,NA,0.06351340572232586,0,0,NA,NA
1464,2022,0.020430167347280072,NA,NA,0.4463158610766266,NA,0.012422360248447204,NA,NA,0.18181818181818182,NA,0.027398974188114388,0,0,1.0986122886681096,NA
1464,2023,0.024384611187705768,0,NA,0.28647048247967033,0.010946819111787805,0.015625,0,NA,0.2,0.010752688172043012,0.03774032798284697,0,0,1.0986122886681096,0.04255961441879589
1464,2024,0.04628111114668569,NA,NA,1.7317362184242535,NA,0.012048192771084338,NA,NA,0.3333333333333333,NA,0.02564243061333767,0,0,NA,NA
1465,2018,NA,NA,NA,NA,NA,0.024096385542168676,0.024096385542168676,NA,0.11627906976744186,0.06,0.06669137449867216,0.06669137449867216,0,0.6931471805599453,0.2231435513142097
1465,2019,NA,NA,NA,NA,NA,0,0.03773584905660377,NA,0.14285714285714285,0.2222222222222222,0,0.11122563511022437,0,0.6931471805599453,0.6931471805599453
1465,2020,NA,NA,NA,NA,NA,0.1,0.025,0.025,0.15,0.06896551724137931,0.3677247801253174,0.08004270767353637,0.08004270767353637,0.916290731874155,0.2876820724517809
1466,2018,NA,NA,NA,NA,NA,0.02564102564102564,0.038461538461538464,NA,0.20689655172413793,0.043478260869565216,0.08004270767353637,0.12260232209233239,0,0.78845736036427,0.2231435513142097
1466,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1467,2018,NA,NA,NA,NA,NA,0.006802721088435374,0.013605442176870748,NA,0.26666666666666666,0.14285714285714285,0.015748356968139168,0.0317486983145803,0,1.0986122886681096,0.5108256237659907
1467,2019,0.007473051554619442,NA,NA,0.16566961059315938,NA,0.006024096385542169,NA,NA,0.1111111111111111,NA,0.01398624197473984,0,0,0.6931471805599453,NA
1468,2018,NA,NA,NA,NA,NA,0.006329113924050633,0.006329113924050633,NA,0.5,0.07142857142857142,0.014184634991956413,0.014184634991956413,0,1.0986122886681096,0.2876820724517809
1468,2019,0.020650867829629372,NA,NA,0.5017426663433286,NA,0.011904761904761904,NA,NA,0.3333333333333333,NA,0.026317308317373417,0,0,1.0986122886681096,NA
1468,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1468,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1468,2022,NA,NA,NA,NA,NA,0.00641025641025641,0.00641025641025641,NA,0.14285714285714285,0.5,0.014388737452099556,0.014388737452099556,0,0.6931471805599453,NA
1468,2023,0.08212700042116115,NA,NA,2.076663144759834,NA,0.0189873417721519,NA,NA,0.21428571428571427,NA,0.03922071315328127,0,0,NA,NA
1468,2024,NA,NA,NA,NA,NA,0.0064516129032258064,NA,0.0064516129032258064,0.1111111111111111,NA,0.01398624197473984,0,0.01398624197473984,0.6931471805599453,NA
1469,2018,NA,NA,NA,NA,NA,0.010638297872340425,0.031914893617021274,NA,0.18181818181818182,0.05,0.028170876966696335,0.08701137698962981,0,0.8472978603872036,0.17185025692665928
1469,2019,0,NA,0.9999999999999998,0.9999999999999998,NA,0,NA,0.14285714285714285,0.07692307692307693,NA,0,0,0.6931471805599453,0.4054651081081643,NA
1470,2018,NA,NA,NA,NA,NA,0.0234375,0.0078125,NA,0.12121212121212122,0.07142857142857142,0.05310982531394841,0.01739174271186922,0,0.8472978603872036,0.4054651081081643
1470,2019,0.08708920904927422,NA,NA,2.211378961718317,NA,0.01775147928994083,NA,NA,0.42857142857142855,NA,0.03922071315328127,0,0,NA,NA
1470,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1470,2021,0.13375641764554666,NA,NA,1.2000005745750297,NA,0.00909090909090909,NA,NA,0.5,NA,0.10536051565782628,0,0,NA,NA
1470,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1471,2018,0.07128905871188157,NA,NA,2.708462668812925,NA,0.011764705882352941,NA,NA,0.5,NA,0.026317308317373417,0,0,NA,NA
1471,2019,0.08354497404039818,NA,NA,0.756928733871891,NA,0.032679738562091505,NA,NA,0.22727272727272727,NA,0.08004270767353637,0,0,1.252762968495368,NA
1471,2020,NA,NA,NA,NA,NA,0,0.00819672131147541,NA,0.07692307692307693,0.2,0,0.019048194970694474,0,0.6931471805599453,NA
1471,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1472,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1472,2019,0.13180678923929162,NA,NA,10.545045192780186,NA,0.005813953488372093,NA,NA,0.3333333333333333,NA,0.012578782206860073,0,0,NA,NA
1472,2020,0.007300376720208092,NA,NA,0,NA,0.007246376811594203,NA,NA,0,NA,0.016000341346441075,0,0,0,NA
1472,2021,0,0.008757413948308434,NA,0.12096661434994659,0.0520645462739439,0,0.008695652173913044,NA,0.1111111111111111,0.05,0,0.018018505502678365,0,0.6931471805599453,0.1823215567939546
1472,2022,0,0.9999999999999998,NA,0.9999999999999999,0.9999999999999999,0,0.006134969325153374,NA,0.125,0.5,0,0.01324522675002068,0,0.6931471805599453,NA
1472,2023,0.24859960289677527,NA,NA,9.57089793455649,NA,0.012422360248447204,NA,NA,0.18181818181818182,NA,0.026317308317373417,0,0,NA,NA
1472,2024,0,NA,1.0000000000335165,0,NA,0,NA,0.006172839506172839,0,NA,0,0,0.01398624197473984,0,NA
1473,2018,0.05358037814737255,0.07383495778947538,0.038733824636385215,0.24645310694857375,0.019824682034170205,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.18181818181818182,0.01818181818181818,0.08701137698962981,0.1823215567939546,0.08701137698962981,0.8472978603872036,0.07696104113612832
1474,2018,NA,NA,NA,NA,NA,0.037037037037037035,0.037037037037037035,NA,0.2727272727272727,0.007352941176470588,0.0953101798043249,0.0953101798043249,0,1.3862943611198906,0.03278982282299084
1475,2018,0,0.9999999999999998,NA,0.9999999999999999,0.9999999999999999,0,0.005917159763313609,NA,0.2,1,0,0.012903404835907841,0,0.6931471805599453,NA
1475,2019,NA,NA,NA,NA,NA,0.007194244604316547,0.007194244604316547,NA,0.09523809523809523,0.06666666666666667,0.015748356968139168,0.015748356968139168,0,1.0986122886681096,0.2231435513142097
1475,2020,NA,NA,NA,NA,NA,0.015384615384615385,NA,0.015384615384615385,0.25,NA,0.03509131981127006,0,0.03509131981127006,0.6931471805599453,NA
1475,2021,0.026220008782688153,NA,NA,1.7400788567876175,NA,0.006993006993006993,NA,NA,0.5,NA,0.014388737452099556,0,0,NA,NA
1475,2022,NA,NA,NA,NA,NA,0.013157894736842105,0.006578947368421052,NA,0.25,0.14285714285714285,0.028987536873252298,0.014388737452099556,0,1.3862943611198906,NA
1475,2023,NA,NA,NA,NA,NA,0.0196078431372549,0.006535947712418301,NA,0.2857142857142857,0.25,0.04652001563489282,0.01526747213078842,0,1.0986122886681096,0.6931471805599453
1475,2024,NA,NA,NA,NA,NA,0.03773584905660377,0.018867924528301886,NA,0.25,0.047619047619047616,0.08515780834030683,0.041672696400568074,0,1.3862943611198906,0.20067069546215124
1476,2018,0,0.0064156508552925245,NA,0.27808404800399333,0.2780840480039931,0,0.005988023952095809,NA,0.25,0.25,0,0.01324522675002068,0,0.6931471805599453,0.6931471805599453
1476,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1476,2020,0.1512483174532653,NA,NA,10.587894404453552,NA,0.003401360544217687,NA,NA,1,NA,0.014388737452099556,0,0,NA,NA
1476,2021,NA,NA,NA,NA,NA,0.008333333333333333,0.008333333333333333,NA,0.125,0.1111111111111111,0.01626052087178029,0.01626052087178029,0,1.0986122886681096,0.4054651081081643
